8,1,"10 plus hours of battery..."
15,1,"and plenty of storage with 250 gb(though I will upgrade this and the ram..)"
7,1,"GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!"
4,1,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document."
8,0,"The battery has never worked well."
8,0,"The battery gets so HOT it is scary."
3,0,"Yet, HP won't do anything about the problem."
3,0,"I returned the computer to HP and they kept it for 3 months."
3,0,"When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem."
3,0,"Well, they don't care a bunch."
3,0,"But, at the same time they (the company) would not and could not do anything about my problem."
9,0,"And, if you are going to deal with HP be careful."
9,0,"In my house, HP is a nasty word."
4,1,"This laptop meets every expectation and Windows 7 is great!"
8,1,"I don't use my laptop in a way though that needs a long battery life so it's perfect for me."
15,1,"Most everything is fine with this machine: speed, capacity, build."
5,0,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail."
5,1,"The LED backlit display makes my pictures pop so much more."
11,1,"I'm learning the finger options for the mousepad that allow for quicker browsing of web###pages."
14,1,"They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular."
21,1,"Great product, very easy to use and great graphics."
18,0,"One drawback, I wish the keys were backlit."
18,1,"I love the size, keyboard, the functions."
14,0,"The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it."
17,0,"The DVD burner broke after burning 3 DVD'd during that time!"
3,0,"They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later."
3,0,"If this is an improvement in Customer###Service then I would hate too see what it was before!"
3,0,"I spoke to 4 different people and was told they needed to transfer me to a 5th person!"
3,0,"Needless to say I told them No and have a nice day and hung up!"
9,0,"I can guarantee this will be the last Dell I will ever purchase!"
3,0,"Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!"
9,0,"I do not recommend this company or their products!!!!"
21,1,"only good thing is the graphics quality."
9,1,"I am loyal to Apple."
15,0,"This just keeps having it's hard###drive replaced!"
3,0,"Acer won't replace the laptop."
12,0,"the manufacturer's warranty only covers replacement/repair of parts."
3,1,"Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat."
8,1,"Suffice it to say, my MacBook###Pro keeps me going with its long battery life and blazing speed."
14,0,"My first problem was with the pre-loaded Norton Firewall/Security program."
3,0,"It took Toshiba tech support 4 calls and 4 different techs to correct the problem."
11,0,"Then just the other day, my left ""mouse"" button snapped!"
6,0,"Some features arent friendly ( volume wheel, sound quality, etc."
20,0,"I've haven't had any major problems with the laptop except that the plastic piece that covers the usb###port wires have all come off."
20,0,"Apparently they are defective since they are not securely attached."
3,0,"I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem."
3,0,"I think I might rather suffer for something that is simple to fix in my opinion."
3,0,"And having to deal with the company has been a even worse nightmare."
3,0,"They sent it back with a huge crack in it and it still didn't work."
3,0,"And that was the fourth time ive sent it to them to get fixed."
3,0,"Its been a year and am still waiting to see what there going to do about my laptop."
9,0,"So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it..."
15,0,"In the first moth of owning this computer its hardrive failed which had to be replaced."
8,0,"After replacing the hard###drive the battery stopped working  (3 months of use) which was frustrating."
8,1,"Has a 5-6 hour battery life."
5,0,"There is a blank lighted screen when I start and that is all."
5,0,"Three weeks after I bought the netbook, the screen quit working."
5,0,"I baby my electronics so I know for a fact it was defective and not anything that I did to it."
8,1,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work."
11,1,"I love the glass touchpad."
5,1,"Also the display is exceptional!"
8,1,"The battery is really long."
6,0,"the features are great, the only thing it needs is better speakers."
6,0,"Speakers too small to be of any real use."
18,1,"Keyboard good sized and wasy to use."
5,0,"The only problem is a lack of screen resolutions!"
6,0,"I dislike the quality and the placement of the speakers."
9,1,"And Toshiba is a quality supplier."
18,1,"The keyboard has a wonderful nature feel."
8,1,"great battery life."
18,1,"Keyboard is reasonable size."
5,0,"Small screen somewhat limiting but great for travel."
1,0,"Charger seems large for this class of computer."
18,0,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is."
8,1,"It's fast and has excellent###battery###life."
5,1,"The screen shows great colors."
5,1,"But with A WAY Bigger Screen, and IS able to connect to an HDMI."
8,1,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing."
8,0,"I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS"
14,1,"It's software and speed enable it to do amazing things."
13,1,"The delivery was fast, and I would not hesitate to purchase this laptop again."
9,1,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!"
5,1,"The screen graphics and clarity, and sharpness are great."
11,0,"The only thing i can say is that the touch pad doesnt work like it should all the time."
11,0,"Sometimes you really have to tap the pad to get it to work"
21,1,"Simple to use, and great graphics."
9,1,"Once again apple stands alone at the top of the charts."
5,1,"Screen size is perfect for portable use in any environment."
8,1,"The battery life seems to be very good, and have had no issues with it."
3,1,"The service I received from Toshiba went above and beyond the call of duty."
5,1,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use."
3,1,"I cannot be happier with the service or product."
1,0,"power###supply went bad after 2 weeks --"
3,0,"after much effort and 10 days ASUS replaced it"
